,Table,Row,Description,Special,chinese,,,
84,application_{train|test}.csv,LANDAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,楼房土地面积,,,中值
85,application_{train|test}.csv,LIVINGAPARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,住房数目,,,中值
86,application_{train|test}.csv,LIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,居住大小,,,中值
87,application_{train|test}.csv,NONLIVINGAPARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,未居住房屋,,,中值
88,application_{train|test}.csv,NONLIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,未居住面积,,,中值
89,application_{train|test}.csv,FONDKAPREMONT_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,,,,众数
90,application_{train|test}.csv,HOUSETYPE_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,房子类型,,,众数
91,application_{train|test}.csv,TOTALAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,总面积,,,众数
92,application_{train|test}.csv,WALLSMATERIAL_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,墙体材料,,,众数
93,application_{train|test}.csv,EMERGENCYSTATE_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized,应急门数量,,,众数
94,application_{train|test}.csv,OBS_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 30 DPD (days past due) default,,客户周围可观察的30天逾期数量,,,
95,application_{train|test}.csv,DEF_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 30 DPD (days past due) ,,客户周围违约30天数量,,,
96,application_{train|test}.csv,OBS_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 60 DPD (days past due) default,,客户周围可观察的60天逾期数量,,,
97,application_{train|test}.csv,DEF_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 60 (days past due) DPD,,客户周围60天违约数量,,,
98,application_{train|test}.csv,DAYS_LAST_PHONE_CHANGE,How many days before application did client change phone,,在申请前多少天客户更换了电话,,,
99,application_{train|test}.csv,FLAG_DOCUMENT_2,Did client provide document 2,,,,,
100,application_{train|test}.csv,FLAG_DOCUMENT_3,Did client provide document 3,,,,,
101,application_{train|test}.csv,FLAG_DOCUMENT_4,Did client provide document 4,,,,,
102,application_{train|test}.csv,FLAG_DOCUMENT_5,Did client provide document 5,,,,,
103,application_{train|test}.csv,FLAG_DOCUMENT_6,Did client provide document 6,,,,,
104,application_{train|test}.csv,FLAG_DOCUMENT_7,Did client provide document 7,,,,,
105,application_{train|test}.csv,FLAG_DOCUMENT_8,Did client provide document 8,,,,,
106,application_{train|test}.csv,FLAG_DOCUMENT_9,Did client provide document 9,,,,,
107,application_{train|test}.csv,FLAG_DOCUMENT_10,Did client provide document 10,,,,,
108,application_{train|test}.csv,FLAG_DOCUMENT_11,Did client provide document 11,,,,,
109,application_{train|test}.csv,FLAG_DOCUMENT_12,Did client provide document 12,,,,,
110,application_{train|test}.csv,FLAG_DOCUMENT_13,Did client provide document 13,,,,,
111,application_{train|test}.csv,FLAG_DOCUMENT_14,Did client provide document 14,,,,,
112,application_{train|test}.csv,FLAG_DOCUMENT_15,Did client provide document 15,,,,,
113,application_{train|test}.csv,FLAG_DOCUMENT_16,Did client provide document 16,,,,,
114,application_{train|test}.csv,FLAG_DOCUMENT_17,Did client provide document 17,,,,,
115,application_{train|test}.csv,FLAG_DOCUMENT_18,Did client provide document 18,,,,,
116,application_{train|test}.csv,FLAG_DOCUMENT_19,Did client provide document 19,,,,,
117,application_{train|test}.csv,FLAG_DOCUMENT_20,Did client provide document 20,,,,,
118,application_{train|test}.csv,FLAG_DOCUMENT_21,Did client provide document 21,,,,,
119,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_HOUR,Number of enquiries to Credit Bureau about the client one hour before application,,客户在申请前一小时在信贷局查询的次数,,,
120,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_DAY,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),,客户在申请前一天到前一小时为止在信贷局查询的次数,,,
121,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_WEEK,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),,一周,,,
122,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_MON,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),,一个月,,,
123,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_QRT,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),,3个月,,,
124,application_{train|test}.csv,AMT_REQ_CREDIT_BUREAU_YEAR,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),,一年,,,
125,bureau.csv,SK_ID_CURR,"ID of loan in our sample - one loan in our sample can have 0,1,2 or more related previous credits in credit bureau ",hashed,"　样本ID(客户ID),每个ID可能会有多条之前的信贷记录",,,
126,bureau.csv,SK_BUREAU_ID,Recoded ID of previous Credit Bureau credit related to our loan (unique coding for each loan application),hashed,"　 信贷机构的记录ID,",,,
127,bureau.csv,CREDIT_ACTIVE,Status of the Credit Bureau (CB) reported credits,,信用机构(局)信用报告的情况,,,
128,bureau.csv,CREDIT_CURRENCY,Recoded currency of the Credit Bureau credit,recoded,信用记录，4中类型,,,
129,bureau.csv,DAYS_CREDIT,How many days before current application did client apply for Credit Bureau credit,time only relative to the application,在当前申请前多少天客户申请过信贷,,,
130,bureau.csv,CREDIT_DAY_OVERDUE,Number of days past due on CB credit at the time of application for related loan in our sample,,样本中的客户在申请贷款时，之前申请的贷款还有多少天到期,,,
131,bureau.csv,DAYS_CREDIT_ENDDATE,Remaining duration of CB credit (in days) at the time of application in Home Credit,time only relative to the application,之前信贷的剩余时间,,,
132,bureau.csv,DAYS_ENDDATE_FACT,Days since CB credit ended at the time of application in Home Credit (only for closed credit),time only relative to the application,客户之前贷款还款最后期限距离当前申请的间隔天数,,,
133,bureau.csv,AMT_CREDIT_MAX_OVERDUE,Maximal amount overdue on the Credit Bureau credit so far (at application date of loan in our sample),,目前为止客户贷款的最高金额,,,
134,bureau.csv,CNT_CREDIT_PROLONG,How many times was the Credit Bureau credit prolonged,,　客户之前贷款中延期还款的次数,,,
135,bureau.csv,AMT_CREDIT_SUM,Current credit amount for the Credit Bureau credit,,信贷机构的贷款额度,,,
136,bureau.csv,AMT_CREDIT_SUM_DEBT,Current debt on Credit Bureau credit,,信贷机构当前的债务,,,
137,bureau.csv,AMT_CREDIT_SUM_LIMIT,Current credit limit of credit card reported in Credit Bureau,,当前的信用卡额度,,,
138,bureau.csv,AMT_CREDIT_SUM_OVERDUE,Current amount overdue on Credit Bureau credit,,信贷机构贷款逾期的金额,,,
139,bureau.csv,CREDIT_TYPE,"Type of Credit Bureau credit (Car, cash,...)",,贷款类型,,,
140,bureau.csv,DAYS_CREDIT_UPDATE,How many days before loan application did last information about the Credit Bureau credit come,time only relative to the application,距离当前申请贷款前多少天客户之前贷款信息更新,,,
141,bureau.csv,AMT_ANNUITY,Annuity of the Credit Bureau credit,,信贷机构的年度贷款额度,,,
142,bureau_balance.csv,SK_BUREAU_ID,Recoded ID of Credit Bureau credit (unique coding for each application) - use this to join to CREDIT_BUREAU table ,hashed,信贷机构每个月的历史记录,,,
143,bureau_balance.csv,MONTHS_BALANCE,Month of balance relative to application date (-1 means the freshest balance date),time only relative to the application,相对于当前的申请剩余月份,,,
144,bureau_balance.csv,STATUS,"Status of Credit Bureau loan during the month (active, closed, DPD0-30,?[C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60,?5 means DPD 120+ or sold or written off ] )",,三个特征，逾期、未逾期、未知,,,
145,POS_CASH_balance.csv,SK_ID_PREV ,"ID of previous credit in Home Credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)",,,,,
146,POS_CASH_balance.csv,SK_ID_CURR,ID of loan in our sample,,,,,
147,POS_CASH_balance.csv,MONTHS_BALANCE,"Month of balance relative to application date (-1 means the information to the freshest monthly snapshot, 0 means the information at application - often it will be the same as -1 as many banks are not updating the information to Credit Bureau regularly )",time only relative to the application,相对于申请日期的月份余额（-1表示最新月度快照的信息，0表示申请时的信息 - 通常与-1相同,,,
148,POS_CASH_balance.csv,CNT_INSTALMENT,Term of previous credit (can change over time),,之前的贷款期限,,,
149,POS_CASH_balance.csv,CNT_INSTALMENT_FUTURE,Installments left to pay on the previous credit,,分期贷款剩余,,,
150,POS_CASH_balance.csv,NAME_CONTRACT_STATUS,Contract status during the month,,当月合同状态,,,
151,POS_CASH_balance.csv,SK_DPD,DPD (days past due) during the month of previous credit,,之前贷款逾期的天数,,,
152,POS_CASH_balance.csv,SK_DPD_DEF,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit,,逾期不超过一个月,,,
153,credit_card_balance.csv,SK_ID_PREV ,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)",hashed, 在Home Credit的样本数据中，之前在其他机构贷款的ID,,,
154,credit_card_balance.csv,SK_ID_CURR,ID of loan in our sample,hashed,,,,
155,credit_card_balance.csv,MONTHS_BALANCE,Month of balance relative to application date (-1 means the freshest balance date),time only relative to the application,相对于申请日期的月份余额,,,
156,credit_card_balance.csv,AMT_BALANCE,Balance during the month of previous credit,,之前贷款每月剩余数目,,,
157,credit_card_balance.csv,AMT_CREDIT_LIMIT_ACTUAL,Credit card limit during the month of the previous credit,,信用卡额度,,,
158,credit_card_balance.csv,AMT_DRAWINGS_ATM_CURRENT,Amount drawing at ATM during the month of the previous credit,,上个月在ATM上取款金额,,,
159,credit_card_balance.csv,AMT_DRAWINGS_CURRENT,Amount drawing during the month of the previous credit,,上个月提取金额,,,
160,credit_card_balance.csv,AMT_DRAWINGS_OTHER_CURRENT,Amount of other drawings during the month of the previous credit,,上个月买东西金额,,,
161,credit_card_balance.csv,AMT_DRAWINGS_POS_CURRENT,Amount drawing or buying goods during the month of the previous credit,,之前分期还款最小金额,,,
162,credit_card_balance.csv,AMT_INST_MIN_REGULARITY,Minimal installment for this month of the previous credit,,上个月客户支付金额,,,
163,credit_card_balance.csv,AMT_PAYMENT_CURRENT,How much did the client pay during the month on the previous credit,,客户支付金额,,,
164,credit_card_balance.csv,AMT_PAYMENT_TOTAL_CURRENT,How much did the client pay during the month in total on the previous credit,,客户支付总金额,,,
165,credit_card_balance.csv,AMT_RECEIVABLE_PRINCIPAL,Amount receivable for principal on the previous credit,,上一次信用证本金应收金额,,,
166,credit_card_balance.csv,AMT_RECIVABLE,Amount receivable on the previous credit,,前期应收账款,,,
167,credit_card_balance.csv,AMT_TOTAL_RECEIVABLE,Total amount receivable on the previous credit,,总账款,,,
168,credit_card_balance.csv,CNT_DRAWINGS_ATM_CURRENT,Number of drawings at ATM during this month on the previous credit,,本月自动取款机上一次贷方的提款单数量,,,
169,credit_card_balance.csv,CNT_DRAWINGS_CURRENT,Number of drawings during this month on the previous credit,,提款单数量,,,
170,credit_card_balance.csv,CNT_DRAWINGS_OTHER_CURRENT,Number of other drawings during this month on the previous credit,,其他地方的提款单数量,,,
171,credit_card_balance.csv,CNT_DRAWINGS_POS_CURRENT,Number of drawings for goods during this month on the previous credit,,,,,
172,credit_card_balance.csv,CNT_INSTALMENT_MATURE_CUM,Number of paid installments on the previous credit,,上一次已付分期付款数目,,,
173,credit_card_balance.csv,NAME_CONTRACT_STATUS,"Contract status (active signed,...) on the previous credit",,合同状态,,,
174,credit_card_balance.csv,SK_DPD,DPD (Days past due) during the month on the previous credit,,,,,
175,credit_card_balance.csv,SK_DPD_DEF,DPD (Days past due) during the month with tolerance (debts with low loan amounts are ignored) of the previous credit,,,,,
